contest_date,id,away,home,location,status,start,network
02-14-2025,,Illinois,Abilene Christian,,,TBA,
02-14-2025,,Miami (OH),Charleston So.,,,TBA,
02-14-2025,,Manhattan,Mississippi St.,,,TBA,
02-14-2025,,Holy Cross,Auburn,,,TBA,
02-14-2025,,Bradley,Alabama,,,TBA,
02-14-2025,,Iona,Coppin St.,,,TBA,
02-14-2025,,Utah Valley,UC Riverside,,,TBA,
02-14-2025,,Wright St.,Longwood,,,TBA,
02-14-2025,,Maine,Louisiana Tech,,,TBA,
02-14-2025,,Kentucky,Lipscomb,,,TBA,
02-14-2025,,George Washington,Southern California,,,TBA,
02-14-2025,,Kansas St.,Washington,,,TBA,
02-14-2025,,Stetson,UConn,,,TBA,
02-14-2025,,Ball St.,Towson,,,TBA,
02-14-2025,,Monmouth,Dayton,,,TBA,
02-14-2025,,Nebraska,UC Irvine,,,TBA,
02-14-2025,,Pittsburgh,Eastern Mich.,,,TBA,
02-14-2025,,San Francisco,Sacramento St.,,,TBA,
02-14-2025,,Purdue Fort Wayne,LSU,,,TBA,
02-14-2025,,Arizona,Ole Miss,,,TBA,
02-14-2025,,Washington St.,Arkansas,,,TBA,
02-14-2025,,Merrimack,Winthrop,,,TBA,
02-14-2025,,FDU,UNC Asheville,,,TBA,
02-14-2025,,UIC,The Citadel,,,TBA,
02-14-2025,,Evansville,Little Rock,,,TBA,
02-14-2025,,Ohio,Wofford,,,TBA,
02-14-2025,,Prairie View,Alabama A&M,,,TBA,
02-14-2025,,Maryland,UAB,,,TBA,
02-14-2025,,Quinnipiac,UNCW,,,TBA,
02-14-2025,,Creighton,UNC Greensboro,,,TBA,
02-14-2025,,Sacred Heart,South Carolina,,,TBA,
02-14-2025,,Lafayette,Southern Miss.,,,TBA,
02-14-2025,,Bellarmine,Troy,,,TBA,
02-14-2025,,Cincinnati,Duke,,,TBA,
02-14-2025,,Youngstown St.,Baylor,,,TBA,
02-14-2025,,Toledo,Oregon,,,TBA,
02-14-2025,,James Madison,Florida St.,,,TBA,
02-14-2025,,Cal Poly,UCLA,,,TBA,
02-14-2025,,Seton Hall,San Diego St.,,,TBA,
02-14-2025,,Wichita St.,McNeese,,,TBA,
02-14-2025,,Gonzaga,UC Davis,,,TBA,
02-14-2025,,Vanderbilt,Grand Canyon,,,TBA,
02-14-2025,,Portland,California Baptist,,,TBA,
02-14-2025,,CSUN,Santa Clara,,,TBA,
02-14-2025,,UC San Diego,Pacific,,,TBA,
02-14-2025,,San Jose St.,Louisiana,,,TBA,
02-14-2025,,Eastern Ill.,ULM,,,TBA,
02-14-2025,,Air Force,Florida,,,TBA,
02-14-2025,,Southern Ind.,Alabama St.,,,TBA,
02-14-2025,,Milwaukee,Mercer,,,TBA,
02-14-2025,,BYU,Fresno St.,,,TBA,
02-14-2025,,Siena,UCF,,,TBA,
02-14-2025,,Central Ark.,Northwestern St.,,,TBA,
02-14-2025,,Omaha,Tulane,,,TBA,
02-14-2025,,Western Caro.,Ga. Southern,,,TBA,
02-14-2025,,Missouri St.,Sam Houston,,,TBA,
02-14-2025,,Fairfield,FGCU,,,TBA,
02-14-2025,,Delaware,Fla. Atlantic,,,TBA,
02-14-2025,,Notre Dame,North Florida,,,TBA,
02-14-2025,,Elon,Texas A&M,,,TBA,
02-14-2025,,Stony Brook,Bethune-Cookman,,,TBA,
02-14-2025,,UNLV,Indiana,,,TBA,
02-14-2025,,Manhattan,Mississippi St.,,,TBA,
02-14-2025,,Wright St.,Longwood,,,TBA,
02-14-2025,,Kentucky,Lipscomb,,,TBA,
02-14-2025,,Merrimack,Winthrop,,,TBA,
02-14-2025,,Creighton,UNC Greensboro,,,TBA,
02-14-2025,,Eastern Ill.,ULM,,,TBA,
02-14-2025,,Evansville,Little Rock,,,TBA,
02-14-2025,,FDU,UNC Asheville,,,TBA,
02-14-2025,,Washington St.,Arkansas,,,TBA,
02-14-2025,,NJIT,High Point,,,TBA,
02-14-2025,,Belmont,Georgia St.,,,TBA,
02-14-2025,,Nevada,California,,,TBA,
02-14-2025,,Stonehill,FIU,,,TBA,
02-14-2025,,Minnesota,Houston,,,TBA,
02-14-2025,,Virginia,Michigan,,,TBA,
02-14-2025,,UMES,VMI,,,TBA,
02-14-2025,,UMES,VMI,,,TBA,
02-14-2025,,Butler,Tarleton St.,,,TBA,
02-14-2025,,North Dakota St.,DBU,,,TBA,
02-14-2025,,Iowa,South Fla.,,,TBA,
02-14-2025,,Lamar University,CSU Bakersfield,,,TBA,
02-14-2025,,Marshall,Hawaii,,,TBA,
02-14-2025,,Lindenwood,Southeastern La.,,,TBA,
02-14-2025,,Saint Louis,Saint Mary's (CA),,,TBA,
02-14-2025,,Saint Louis,Saint Mary's (CA),,,TBA,
02-14-2025,,Northern Colo.,Utah Tech,,,TBA,
02-14-2025,,Western Mich.,Michigan St.,,,TBA,
02-14-2025,,Missouri,Penn St.,,,TBA,
02-14-2025,,Binghamton,Texas St.,,,TBA,
02-14-2025,,Seattle U,LMU (CA),,,TBA,
02-14-2025,,Navy,Richmond,,,TBA,
02-14-2025,,Navy,Richmond,,,TBA,
02-14-2025,,Morehead St.,Arkansas St.,,,TBA,
02-14-2025,,Ark.-Pine Bluff,Oral Roberts,,,TBA,
02-14-2025,,Ark.-Pine Bluff,Oral Roberts,,,TBA,
02-14-2025,,Texas Southern,Southern U.,,,TBA,
02-14-2025,,Jackson St.,Grambling,,,TBA,
02-14-2025,,Lehigh,Oklahoma,,,TBA,
02-14-2025,,Lehigh,Oklahoma,,,TBA,
02-14-2025,,Austin Peay,New Mexico,,,TBA,
02-14-2025,,Villanova,Rice,,,TBA,
02-14-2025,,Clemson,Oklahoma St.,,,TBA,
02-14-2025,,Central Mich.,Houston Christian,,,TBA,
02-14-2025,,Central Mich.,Houston Christian,,,TBA,
02-14-2025,,Central Mich.,Houston Christian,,,TBA,
02-14-2025,,Central Mich.,Houston Christian,,,TBA,
02-14-2025,,Saint Peter's,UIW,,,TBA,
02-14-2025,,Oregon St.,Xavier,,,TBA,
02-14-2025,,TCU,San Diego,,,TBA,
02-14-2025,,NIU,Nicholls,,,TBA,
02-14-2025,,LIU,Wake Forest,,,TBA,
02-14-2025,,Quinnipiac,Georgia,,,TBA,
02-14-2025,,Northern Ky.,ETSU,,,TBA,
02-14-2025,,Northern Ky.,ETSU,,,TBA,
02-14-2025,,UTSA,UT Arlington,,,TBA,
02-14-2025,,Indiana St.,Wagner,,,TBA,
02-14-2025,,UMass Lowell,Mercyhurst,,,TBA,
02-14-2025,,Le Moyne,Tennessee Tech,,,TBA,
02-14-2025,,Le Moyne,Tennessee Tech,,,TBA,
02-14-2025,,Le Moyne,Tennessee Tech,,,TBA,
02-14-2025,,Southeast Mo. St.,Memphis,,,TBA,
02-14-2025,,Southeast Mo. St.,Memphis,,,TBA,
02-14-2025,,SIUE,South Alabama,,,TBA,
02-14-2025,,St. Thomas (MN),New Mexico St.,,,TBA,
02-14-2025,,Queens (NC),App State,,,TBA,
02-14-2025,,Marist,Wake Forest,,,TBA,
02-14-2025,,Campbell,UC Santa Barbara,,,TBA,
02-14-2025,,Eastern Ky.,Kent St.,,,TBA,
02-14-2025,,Niagara,Miami (FL),,,TBA,
02-14-2025,,Hofstra,Tennessee,,,TBA,
02-14-2025,,Ohio St.,Arizona St.,,,TBA,
02-14-2025,,Saint Joseph's,Coastal Carolina,,,TBA,
02-14-2025,,Old Dominion,Georgia Tech,,,TBA,
02-14-2025,,Louisville,Texas,,,TBA,
02-14-2025,,Southern Ill.,UTRGV,,,TBA,
02-14-2025,,Valparaiso,Samford,,,TBA,
02-14-2025,,Valparaiso,Samford,,,TBA,
02-14-2025,,Northeastern,Charlotte,,,TBA,
02-14-2025,,Northeastern,Charlotte,,,TBA,
02-14-2025,,St. Bonaventure,Gardner-Webb,,,TBA,
02-14-2025,,Boston College,USC Upstate,,,TBA,
02-14-2025,,VCU,Col. of Charleston,,,TBA,
02-14-2025,,Utah,Pepperdine,,,TBA,
02-14-2025,,New Orleans,West Ga.,,,TBA,
02-14-2025,,UT Martin,Florida A&M,,,TBA,
02-14-2025,,West Virginia,Jacksonville,,,TBA,
02-14-2025,,Bucknell,Virginia Tech,,,TBA,
02-14-2025,,Bucknell,Virginia Tech,,,TBA,
02-14-2025,,Kansas,A&M-Corpus Christi,,,TBA,
02-14-2025,,Monmouth,Dayton,,,TBA,
02-14-2025,,Ohio,Wofford,,,TBA,
02-14-2025,,Western Mich.,Michigan St.,,,TBA,
02-14-2025,,Western Ill.,Murray St.,,,TBA,
02-14-2025,,Western Ill.,Murray St.,,,TBA,
02-14-2025,,NJIT,High Point,,,TBA,
02-14-2025,,Indiana St.,Wagner,,,TBA,
02-14-2025,,LIU,Marist,,,TBA,
02-14-2025,,Mount St. Mary's,Norfolk St.,,,TBA,
02-14-2025,,Delaware St.,N.C. A&T,,,TBA,
02-14-2025,,Georgetown,Presbyterian,,,TBA,
02-14-2025,,Illinois St.,Western Ky.,,,TBA,
02-14-2025,,St. John's (NY),Liberty,,,TBA,
02-14-2025,,SFA,Purdue,,,TBA,
02-14-2025,,Army West Point,North Ala.,,,TBA,
02-14-2025,,Mount St. Mary's,Norfolk St.,,,TBA,
02-14-2025,,George Mason,East Carolina,,,TBA,
02-14-2025,,George Mason,East Carolina,,,TBA,
02-14-2025,,Fordham,NC State,,,TBA,
02-14-2025,,St. John's (NY),Liberty,,,TBA,
02-14-2025,,Fordham,NC State,,,TBA,
02-14-2025,,Georgetown,Presbyterian,,,TBA,
02-14-2025,,Delaware St.,N.C. A&T,,,TBA,
02-14-2025,,SFA,Purdue,,,TBA,
02-14-2025,,Texas Tech,North Carolina,,,TBA,
02-14-2025,,St. Bonaventure,Gardner-Webb,,,TBA,
02-14-2025,,Rhode Island,William & Mary,,,TBA,
02-14-2025,,Rutgers,Kennesaw St.,,,TBA,
02-14-2025,,Rutgers,Kennesaw St.,,,TBA,
02-14-2025,,Illinois St.,Western Ky.,,,TBA,
02-14-2025,,Bryant,Davidson,,,TBA,
02-14-2025,,Army West Point,North Ala.,,,TBA,
02-14-2025,,Rhode Island,William & Mary,,,TBA,
02-14-2025,,Akron,Radford,,,TBA,
02-14-2025,,Akron,Radford,,,TBA,
02-14-2025,,Oakland,Jacksonville St.,,,TBA,
02-14-2025,,New Mexico,Fordham,,,TBA,
02-14-2025,,Oakland,Jacksonville St.,,,TBA,
02-14-2025,,Texas Tech,North Carolina,,,TBA,
02-14-2025,,Bowling Green,Middle Tenn.,,,TBA,
02-14-2025,,Bowling Green,Middle Tenn.,,,TBA,
02-14-2025,,Bryant,Davidson,,,TBA,
02-14-2025,,St. John's (NY),Liberty,,,TBA,
02-14-2025,,Delaware St.,N.C. A&T,,,TBA,
02-14-2025,,Towson,Murray St.,,,TBA,
02-14-2025,,Ohio,Wofford,,,TBA,
02-14-2025,,Purdue Fort Wayne,Louisiana Tech,,,TBA,
