event_id,event_date,status,home,away,venue,location,Stadium Final ,Azimuth,Lat,Lon,,,,Home teams,Home Stadium,Stadium match,Stadium team match,,,,Stadium,Team,Azimuth,Lat,Long
401847153,2026-02-13T05:00Z,Scheduled,Auburn,Youngstown St,Plainsman Park,"Auburn, Alabama",Samford Stadium – Hitchcock Field at Plainsman Park,138,32.599473,-85.489429,,,,Auburn,Plainsman Park,No Match,Samford Stadium – Hitchcock Field at Plainsman Park,,,,Varsity Field,UAlbany,153,42.678326,-73.823569
401852986,2026-02-13T05:00Z,Scheduled,FIU,Villanova,FIU Baseball Stadium,"Miami, Florida",FIU Baseball Stadium,44.6,25.754772,-80.38059,,,,FIU,FIU Baseball Stadium,FIU Baseball Stadium,FIU Baseball Stadium,,,,Binghamton Baseball Stadium Complex,Binghamton,30.4,42.094446,-75.974086
401852735,2026-02-13T05:00Z,Scheduled,USC,Pepperdine,Great Park,"Irvine, California",Dedeaux Field,314.6,34.024068,-118.289916,,,,USC,Great Park,No Match,Dedeaux Field,,,,Conaty Park,Bryant,29.11,41.925751,-71.540025
401852240,2026-02-13T05:00Z,Scheduled,Saint Mary's,Creighton,Louis Guisto Field,"Moraga, California",Louis Guisto Field,352,37.842266,-122.111807,,,,Saint Mary's,Louis Guisto Field,Louis Guisto Field,Louis Guisto Field,,,,Mahaney Diamond,Maine,307.97,44.905148,-68.670092
401850139,2026-02-13T05:00Z,Scheduled,South Florida,Illinois,USF Baseball Stadium,"Tampa, Florida",USF Baseball Stadium,42.38,27.9449854,-82.4583107,,,,South Florida,USF Baseball Stadium,USF Baseball Stadium,USF Baseball Stadium,,,,Yogi Berra Stadium,NJIT,358.1,40.869285,-74.195209
401848608,2026-02-13T05:00Z,Scheduled,Jax State,Cincinnati,Rudy Abbott Field at Jim Case Stadium,"Jacksonville, Alabama",John Sessions Stadium,100.7,30.351395,-81.607159,,,,Jax State,Rudy Abbott Field at Jim Case Stadium,No Match,John Sessions Stadium,,,,Edward A. LeLacheur Park,UMass Lowell,30.66,42.65384,-71.317609
401848577,2026-02-13T05:00Z,Scheduled,Virginia Tech,William & Mary,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia",English Field,130,37.217751,-80.42327,,,,Virginia Tech,English Field at Atlantic Union Bank Park,No Match,English Field,,,,The Baseball Factory Field at UMBC,UMBC,180.5,39.249481,-76.708378
401847692,2026-02-13T05:00Z,Scheduled,Boston College,Seton Hall,Estadio Paquito Montaner,Ponce,Eddie Pellagrini Diamond,133,42.343859,-71.159615,,,,Boston College,Estadio Paquito Montaner,No Match,Eddie Pellagrini Diamond,,,,Robert and Mariam Hayes Stadium,Charlotte,139.58,35.3080937,-80.7389536
401847426,2026-02-13T05:00Z,Scheduled,Mount St Marys,Missouri,E.T. Straw Family Stadium,"Emmitsburg, Maryland",Straw Family Stadium,63,39.678703,-77.344497,,,,Mount St Marys,E.T. Straw Family Stadium,No Match,Straw Family Stadium,,,,Clarke LeClair Stadium,East Carolina,301.45,35.5933957,-77.3670293
401848667,2026-02-13T14:30Z,Scheduled,Wake Forest,Houston,Estadio Paquito Montaner,Ponce,David F. Couch Ballpark,43.3,36.129991,-80.251766,,,,Wake Forest,Estadio Paquito Montaner,No Match,David F. Couch Ballpark,,,,FAU Baseball Stadium,Florida Atlantic,179.52,26.3586885,-80.0830984
