event_id,event_date,status,home,away,venue,location
401750024,2025-02-15T00:00Z,Final,Texas A&M,Elon,Olsen Field at Blue Bell Park,"College Station, Texas"
401750514,2025-02-14T18:00Z,Final,Michigan,Virginia,,
401750049,2025-02-14T20:00Z,Final,LSU,Purdue FW,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401749975,2025-02-14T21:30Z,Final,Tennessee,Hofstra,Lindsey Nelson Stadium,"Knoxville, Tennessee"
401746173,2025-02-14T18:00Z,Final,Arkansas,Washington St,Baum-Walker Stadium,"Fayetteville, Arkansas"
401746175,2025-02-14T22:10Z,Final,Arkansas,Washington St,Baum-Walker Stadium,"Fayetteville, Arkansas"
401750424,2025-02-14T17:00Z,Final,North Carolina,Texas Tech,Bryson Field at Boshamer Stadium,"Chapel Hill, North Carolina"
401750425,2025-02-14T21:00Z,Final,North Carolina,Texas Tech,Bryson Field at Boshamer Stadium,"Chapel Hill, North Carolina"
401751736,2025-02-14T19:00Z,Final,Oregon St,Xavier,Surprise Stadium,"Surprise, Arizona"
401748395,2025-02-14T17:00Z,Final,Georgia,Quinnipiac,Brooks Field,"Wilmington, North Carolina"
401750311,2025-02-14T22:00Z,Final,Florida St,James Madison,Mike Martin Field at Dick Howser Stadium,"Tallahassee, Florida"
401748349,2025-02-14T23:30Z,Final,Florida,Air Force,Condron Family Ballpark,"Gainesville, Florida"
401750285,2025-02-14T21:00Z,Final,Duke,Cincinnati,Jack Coombs Field,"Durham, North Carolina"
401751063,2025-02-14T23:05Z,Final,Oregon,Toledo,PK Park,"Eugene, Oregon"
401750401,2025-02-14T17:00Z,Final,NC State,Fordham,Doak Field at Dail Park,"Raleigh, North Carolina"
401750402,2025-02-14T20:30Z,Final,NC State,Fordham,Doak Field at Dail Park,"Raleigh, North Carolina"
401750561,2025-02-14T19:30Z,Final,Wake Forest,Long Island,David F. Couch Ballpark,"Winston-Salem, North Carolina"
401750562,2025-02-14T23:00Z,Final,Wake Forest,Marist,David F. Couch Ballpark,"Winston-Salem, North Carolina"
401750263,2025-02-14T17:00Z,Final,Clemson,Oklahoma St,Globe Life Field,"Arlington, Texas"
401750075,2025-02-15T01:00Z,Final,Grand Canyon,Vanderbilt,Brazell Field at GCU Ballpark,"Phoenix, Arizona"
401748443,2025-02-14T18:00Z,Final,Mississippi St,Manhattan,Dudy Noble Field,"Starkville, Mississippi"
401748444,2025-02-14T21:40Z,Final,Mississippi St,Manhattan,Dudy Noble Field,"Starkville, Mississippi"
401750001,2025-02-15T01:00Z,Final,Louisville,Texas,Globe Life Field,"Arlington, Texas"
401751774,2025-02-14T21:05Z,Final,Dallas Baptist,N Dakota St,Horner Ballpark,"Dallas, Texas"
401748547,2025-02-14T21:00Z,Final,Ole Miss,Arizona,Globe Life Field,"Arlington, Texas"
401751777,2025-02-15T00:05Z,Final,Santa Barbara,Campbell,Caesar Uyesaka Stadium,"Santa Barbara, California"
401751908,2025-02-15T02:00Z,Final,San Diego,TCU,Fowler Park and Cunningham Field,"San Diego, California"
401751026,2025-02-14T20:00Z,Final,Nebraska,UC Irvine,Salt River Fields at Talking Stick,"Scottsdale, Arizona"
401751780,2025-02-14T22:00Z,Final,Troy,Bellarmine,Riddle-Pace Field,"Troy, Alabama"
401757200,2025-02-14T15:00Z,Final,Stetson,UConn,,
401750741,2025-02-14T16:30Z,Final,Kansas St,Washington,Springs Brooks Stadium,"Conway, South Carolina"
401750537,2025-02-14T18:00Z,Final,Virginia Tech,Bucknell,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401750469,2025-02-14T18:00Z,Final,Pitt,E Michigan,Centennial Park,"Port Charlotte, Florida"
401748420,2025-02-14T18:00Z,Final,Lipscomb,Kentucky,Ken Dugan Field at Stephen Lee Marsh Stadium,"Nashville, Tennessee"
401751882,2025-02-14T19:00Z,Final,Purdue,SF Austin,Constellation Field,"Sugar Land, Texas"
401751110,2025-02-14T19:00Z,Final,Kennesaw St,Rutgers,Stillwell Baseball Stadium,"Kennesaw, Georgia"
401750890,2025-02-14T19:00Z,Final,Illinois,Abilene Chrstn,Whataburger Field,"Corpus Christi, Texas"
401750215,2025-02-14T20:00Z,Final,SC Upstate,Boston College,Cleveland S. Harley Baseball Park,"Spartanburg, South Carolina"
401748523,2025-02-14T20:00Z,Final,Oklahoma,Lehigh,L. Dale Mitchell Park,"Norman, Oklahoma"
401750653,2025-02-14T21:00Z,Final,Baylor,Youngstown St,Magnolia Field at Baylor Ballpark,"Waco, Texas"
401750335,2025-02-14T21:00Z,Final,Georgia Tech,Old Dominion,Mac Nease Baseball Park,"Atlanta, Georgia"
401748577,2025-02-14T21:00Z,Final,South Carolina,Sacred Heart,Founders Park,"Columbia, South Carolina"
401748489,2025-02-14T21:00Z,Final,Penn State,Missouri,Yldefonso Sola Morales Stadium,Caguas
401750991,2025-02-14T21:30Z,Final,W Michigan,Michigan St,,
401750949,2025-02-14T21:30Z,Final,Maryland,UAB,Shipyard Park,"Mount Pleasant, South Carolina"
401750844,2025-02-14T21:30Z,Final,Pepperdine,Utah,Eddy D. Field Stadium,"Malibu, California"
401750538,2025-02-14T21:30Z,Final,Virginia Tech,Bucknell,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401748421,2025-02-14T21:30Z,Final,Lipscomb,Kentucky,Ken Dugan Field at Stephen Lee Marsh Stadium,"Nashville, Tennessee"
401746128,2025-02-14T22:00Z,Final,Alabama,Bradley,Sewell-Thomas Stadium,"Tuscaloosa, Alabama"
401751883,2025-02-14T22:30Z,Final,Purdue,SF Austin,Constellation Field,"Sugar Land, Texas"
401751111,2025-02-14T22:30Z,Final,Kennesaw St,Rutgers,Stillwell Baseball Stadium,"Kennesaw, Georgia"
401750865,2025-02-14T23:00Z,Final,Jacksonville,West Virginia,John Sessions Stadium,"Jacksonville, Florida"
401750930,2025-02-14T23:30Z,Final,South Florida,Iowa,USF Baseball Stadium,"Tampa, Florida"
401750821,2025-02-14T23:30Z,Final,UCF,Siena,John Euliano Park,"Orlando, Florida"
401750447,2025-02-14T23:30Z,Final,North Florida,Notre Dame,Dusty Rhodes Field at Harmon Stadium,"Jacksonville, Florida"
401750718,2025-02-14T23:40Z,Final,Texas A&M-CC,Kansas,Whataburger Field,"Corpus Christi, Texas"
401748525,2025-02-14T23:55Z,Final,Oklahoma,Lehigh,Kimrey Family Stadium,"Norman, Oklahoma"
401750994,2025-02-15T00:00Z,Final,Michigan St,W Michigan,,
401750909,2025-02-15T00:00Z,Final,UNLV,Indiana,Surprise Stadium,"Surprise, Arizona"
