event_id,home,away,stadium,City,State,lat,lon,event_date,event_dt_utc,tz_name,event_dt_local,local_date,local_time
401750024,Texas A&M,Elon,Olsen Field at Blue Bell Park,College Station,TX,30.6183939,-96.3455991,2025-02-15T00:00Z,2025-02-15 00:00:00+00:00,America/Chicago,2025-02-14 18:00:00-06:00,2025-02-14,18:00
401750514,Michigan,Virginia,Ray Fisher Stadium,Ann Arbor,MI,42.2674643,-83.7424673,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,America/Detroit,2025-02-14 13:00:00-05:00,2025-02-14,13:00
401750049,LSU,Purdue FW,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,30.4494155,-91.1869659,2025-02-14T20:00Z,2025-02-14 20:00:00+00:00,America/Chicago,2025-02-14 14:00:00-06:00,2025-02-14,14:00
401749975,Tennessee,Hofstra,Lindsey Nelson Stadium,Knoxville,TN,35.9490901,-83.9294748,2025-02-14T21:30Z,2025-02-14 21:30:00+00:00,America/New_York,2025-02-14 16:30:00-05:00,2025-02-14,16:30
401746173,Arkansas,Washington St,Baum–Walker Stadium,Fayetteville,AR,36.050156,-94.1831402,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,America/Chicago,2025-02-14 12:00:00-06:00,2025-02-14,12:00
401746175,Arkansas,Washington St,Baum–Walker Stadium,Fayetteville,AR,36.050156,-94.1831402,2025-02-14T22:10Z,2025-02-14 22:10:00+00:00,America/Chicago,2025-02-14 16:10:00-06:00,2025-02-14,16:10
401750424,North Carolina,Texas Tech,Boshamer Stadium,Chapel Hill,NC,35.9063338,-79.0434986,2025-02-14T17:00Z,2025-02-14 17:00:00+00:00,America/New_York,2025-02-14 12:00:00-05:00,2025-02-14,12:00
401750425,North Carolina,Texas Tech,Boshamer Stadium,Chapel Hill,NC,35.9063338,-79.0434986,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/New_York,2025-02-14 16:00:00-05:00,2025-02-14,16:00
401751736,Oregon St,Xavier,,,,,,2025-02-14T19:00Z,2025-02-14 19:00:00+00:00,,,,
401748395,Georgia,Quinnipiac,Foley Field,Athens,GA,33.9409565,-83.380386,2025-02-14T17:00Z,2025-02-14 17:00:00+00:00,America/New_York,2025-02-14 12:00:00-05:00,2025-02-14,12:00
401750311,Florida St,James Madison,,,,,,2025-02-14T22:00Z,2025-02-14 22:00:00+00:00,,,,
401748349,Florida,Air Force,Condron Ballpark,Gainesville,FL,29.6366398,-82.3641623,2025-02-14T23:30Z,2025-02-14 23:30:00+00:00,America/New_York,2025-02-14 18:30:00-05:00,2025-02-14,18:30
401750285,Duke,Cincinnati,Jack Coombs Field,Durham,NC,35.996653,-78.9018053,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/New_York,2025-02-14 16:00:00-05:00,2025-02-14,16:00
401751063,Oregon,Toledo,PK Park,Eugene,OR,44.0358767,-123.0579178,2025-02-14T23:05Z,2025-02-14 23:05:00+00:00,America/Los_Angeles,2025-02-14 15:05:00-08:00,2025-02-14,15:05
401750401,NC State,Fordham,,,,,,2025-02-14T17:00Z,2025-02-14 17:00:00+00:00,,,,
401750402,NC State,Fordham,,,,,,2025-02-14T20:30Z,2025-02-14 20:30:00+00:00,,,,
401750561,Wake Forest,Long Island,David F. Couch Ballpark,Winston-Salem,NC,36.1297606,-80.2522568,2025-02-14T19:30Z,2025-02-14 19:30:00+00:00,America/New_York,2025-02-14 14:30:00-05:00,2025-02-14,14:30
401750562,Wake Forest,Marist,David F. Couch Ballpark,Winston-Salem,NC,36.1297606,-80.2522568,2025-02-14T23:00Z,2025-02-14 23:00:00+00:00,America/New_York,2025-02-14 18:00:00-05:00,2025-02-14,18:00
401750263,Clemson,Oklahoma St,Doug Kingsmore Stadium,Clemson,SC,34.6789444,-82.8492456,2025-02-14T17:00Z,2025-02-14 17:00:00+00:00,America/New_York,2025-02-14 12:00:00-05:00,2025-02-14,12:00
401750075,Grand Canyon,Vanderbilt,Brazell Field at GCU Ballpark,Phoenix,AZ,33.4484367,-112.074141,2025-02-15T01:00Z,2025-02-15 01:00:00+00:00,America/Phoenix,2025-02-14 18:00:00-07:00,2025-02-14,18:00
401748443,Mississippi St,Manhattan,,,,,,2025-02-14T18:00Z,2025-02-14 18:00:00+00:00,,,,
401748444,Mississippi St,Manhattan,,,,,,2025-02-14T21:40Z,2025-02-14 21:40:00+00:00,,,,
401750001,Louisville,Texas,Jim Patterson Stadium,Louisville,KY,38.2057696,-85.7623635,2025-02-15T01:00Z,2025-02-15 01:00:00+00:00,America/Kentucky/Louisville,2025-02-14 20:00:00-05:00,2025-02-14,20:00
401751774,Dallas Baptist,N Dakota St,Horner Ballpark,Dallas,TX,32.7118563,-96.9453641,2025-02-14T21:05Z,2025-02-14 21:05:00+00:00,America/Chicago,2025-02-14 15:05:00-06:00,2025-02-14,15:05
401748547,Ole Miss,Arizona,Swayze Field,University,MS,34.3653692,-89.5350279,2025-02-14T21:00Z,2025-02-14 21:00:00+00:00,America/Chicago,2025-02-14 15:00:00-06:00,2025-02-14,15:00
401751777,Santa Barbara,Campbell,,,,,,2025-02-15T00:05Z,2025-02-15 00:05:00+00:00,,,,
401751908,San Diego,TCU,Fowler Park and Cunningham Field,San Diego,CA,32.7174202,-117.162772,2025-02-15T02:00Z,2025-02-15 02:00:00+00:00,America/Los_Angeles,2025-02-14 18:00:00-08:00,2025-02-14,18:00
401751026,Nebraska,UC Irvine,Haymarket Park,Lincoln,NE,40.8242751,-96.7153685,2025-02-14T20:00Z,2025-02-14 20:00:00+00:00,America/Chicago,2025-02-14 14:00:00-06:00,2025-02-14,14:00
