espn_venue,espn_venue_norm,match,matched_stadium,City,State,lat,lon
"Alex Box Stadium, Skip Bertman Field","alex box stadium, skip bertman field",True,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,30.4494155,-91.1869659
Alex Rodriguez Park at Mark Light Field,alex rodriguez park at mark light field,True,Alex Rodriguez Park at Mark Light Field,Coral Gables,FL,25.7331105,-80.2585107
Alexander Field,alexander field,True,Alexander Field,West Lafayette,IN,40.437702,-86.9411864
Allen Field,allen field,True,Allen Field,Morehead,KY,38.1934039,-83.4258684
Alumni Baseball Diamond,alumni baseball diamond,True,Alumni Baseball Diamond,Fairfield,CT,41.1412078,-73.2637258
Bailey-Brayton Field,bailey-brayton field,True,Bailey–Brayton Field,Pullman,WA,46.7349006,-117.155242
Bainton Field,bainton field,True,Bainton Field,Piscataway,NJ,40.5464326,-74.4660542
Bannerwood Park,bannerwood park,True,Bannerwood Park,Bellevue,WA,47.59593,-122.1628603
Bart Kaufman Field,bart kaufman field,True,Bart Kaufman Field,Bloomington,IN,39.1849669,-86.5222464
Baum-Walker Stadium,baum-walker stadium,True,Baum–Walker Stadium,Fayetteville,AR,36.050156,-94.1831402
Bear Stadium,bear stadium,True,Bear Stadium,Conway,AR,35.0835441,-92.4598971
Beaver Field at Jim and Bettie Smith Stadium,beaver field at jim and bettie smith stadium,True,Beaver Field at Jim and Bettie Smith Stadium,Boone,NC,36.2187873,-81.684004
Ben Meyer Diamond at Ray E. Didier Field,ben meyer diamond at ray e. didier field,True,Ben Meyer Diamond at Ray E. Didier Field,Thibodaux,LA,29.7957633,-90.822871
Bill Aker Baseball Complex,bill aker baseball complex,True,Bill Aker Baseball Complex,Highland Heights,KY,39.0285456,-84.464812
Bill Beck Field,bill beck field,True,Bill Beck Field,Kingston,RI,41.4729285,-71.5223479
Billiken Sports Center,billiken sports center,True,Billiken Sports Center,St. Louis,MO,38.6254063,-90.190009
Bob Hannah Stadium,bob hannah stadium,True,Bob Hannah Stadium,Newark,DE,39.6634593,-75.7475762
Bob Warn Field at Sycamore Stadium,bob warn field at sycamore stadium,True,Bob Warn Field at Sycamore Stadium,Terre Haute,IN,39.4667025,-87.4139119
Bob Wren Stadium,bob wren stadium,True,Bob Wren Stadium,Athens,OH,39.3246599,-82.1085314
Booth Field,booth field,True,Booth Field,Ithaca,NY,42.0923055,-75.8982346
Brazell Field at GCU Ballpark,brazell field at gcu ballpark,True,Brazell Field at GCU Ballpark,Phoenix,AZ,33.4484367,-112.074141
Brooks Field,brooks field,True,Brooks Field,Wilmington,NC,34.2218891,-77.873377
Bruce Hurst Field,bruce hurst field,True,Bruce Hurst Field,St. George,UT,37.0986322,-113.5651776
Bulldog Park,bulldog park,True,Bulldog Park,Indianapolis,IN,40.0686485,-85.8483885
Bush Stadium at Averitt Express Baseball Complex,bush stadium at averitt express baseball complex,True,Bush Stadium at Averitt Express Baseball Complex,Cookeville,TN,36.1623886,-85.4997057
CCSU Baseball Field,ccsu baseball field,True,CCSU Baseball Field,New Britain,CT,41.6612104,-72.7795419
Caesar Uyesaka Stadium,caesar uyesaka stadium,True,Caesar Uyesaka Stadium,Santa Barbara[i],CA,34.4189788,-119.8522376
Capaha Field,capaha field,True,Capaha Field,Cape Girardeau,MO,37.304731,-89.5176418
Capital One Park,capital one park,True,Capital One Park,Tysons,VA,38.9267483,-77.207473
Chapman Field,chapman field,True,Chapman Field,Corpus Christi,TX,27.70989,-97.3246143
Charles L. Cost Field,charles l. cost field,True,Charles L. Cost Field,Pittsburgh,PA,40.4451848,-79.9661719
Cicerone Field at Anteater Ballpark,cicerone field at anteater ballpark,True,Cicerone Field at Anteater Ballpark,Irvine,CA,33.6514521,-117.8474993
Clay Gould Ballpark,clay gould ballpark,True,Clay Gould Ballpark,Arlington,TX,32.7220377,-97.1309631
Coaches Stadium at Monier Field,coaches stadium at monier field,True,Coaches Stadium at Monier Field,Charleston,IL,39.4961458,-88.1761521
