date,home_away,opponent,start,location,network,status
2025-02-15,Away,Cal St. Fullerton,TBA,,,
2025-02-15,Away,Cal St. Fullerton,TBA,,,
2025-02-16,Away,Cal St. Fullerton,TBA,,,
2025-02-17,Away,Cal St. Fullerton,TBA,,,
2025-02-21,Home,Washington,TBA,,,
2025-02-22,Home,Washington,TBA,,,
2025-02-23,Home,Washington,TBA,,,
2025-02-24,Home,Washington,TBA,,,
2025-02-28,Home,Xavier,TBA,,,
2025-03-01,Home,Xavier,TBA,,,
2025-03-01,Home,Xavier,TBA,,,
2025-03-02,Home,Xavier,TBA,,,
2025-03-07,Away,North Carolina,TBA,,,
2025-03-08,Away,North Carolina,TBA,,,
2025-03-09,Away,North Carolina,TBA,,,
2025-03-14,Home,Duke,TBA,,,
2025-03-15,Home,Duke,TBA,,,
2025-03-16,Home,Duke,TBA,,,
2025-03-21,Home,California,TBA,,,
2025-03-22,Home,California,TBA,,,
2025-03-23,Home,California,TBA,,,
2025-03-24,Home,San Jose St.,TBA,,,
2025-03-27,Away,Virginia,TBA,,,
2025-03-28,Away,Virginia,TBA,,,
2025-03-29,Away,Virginia,TBA,,,
2025-04-01,Home,Santa Clara,TBA,,,
2025-04-04,Home,Georgia Tech,TBA,,,
2025-04-05,Home,Georgia Tech,TBA,,,
2025-04-06,Home,Georgia Tech,TBA,,,
2025-04-07,Home,UC Davis,TBA,,,
2025-04-11,Away,Clemson,TBA,,,
2025-04-12,Away,Clemson,TBA,,,
2025-04-13,Away,Clemson,TBA,,,
2025-04-18,Home,Notre Dame,TBA,,,
2025-04-19,Home,Notre Dame,TBA,,,
2025-04-20,Home,Notre Dame,TBA,,,
2025-04-21,Home,UC Davis,TBA,,,
2025-04-25,Home,Wake Forest,TBA,,,
2025-04-26,Home,Wake Forest,TBA,,,
2025-04-27,Home,Wake Forest,TBA,,,
2025-04-28,Home,Sacramento St.,TBA,,,
2025-05-02,Away,Boston College,TBA,,,
2025-05-03,Away,Boston College,TBA,,,
2025-05-04,Away,Boston College,TBA,,,
2025-05-06,Away,Santa Clara,TBA,,,
2025-05-09,Home,Grand Canyon,TBA,,,
2025-05-10,Home,Grand Canyon,TBA,,,
2025-05-11,Home,Grand Canyon,TBA,,,
2025-05-15,Away,NC State,TBA,,,
2025-05-16,Away,NC State,TBA,,,
2025-05-17,Away,NC State,TBA,,,
2025-05-20,Away,Virginia Tech,TBA,,,
