espn_id,displayName,shortDisplayName,name,abbreviation,location,slug,color,logo_default,logo_dark
315,Abilene Christian Wildcats,Abilene Chrstn,Wildcats,ACU,Abilene Christian,abilene-christian-wildcats,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png
155,Air Force Falcons,Air Force,Falcons,AFA,Air Force,air-force-falcons,004A7B,https://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png
316,Akron Zips,Akron,Zips,AKR,Akron,akron-zips,0A1E5B,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png
317,Alabama A&M Bulldogs,Alabama A&M,Bulldogs,AAMU,Alabama A&M,alabama-am-bulldogs,790000,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png
148,Alabama Crimson Tide,Alabama,Crimson Tide,ALA,Alabama,alabama-crimson-tide,A42D47,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png
318,Alabama State Hornets,Alabama St,Hornets,ALST,Alabama State,alabama-state-hornets,603913,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png
260,Alcorn State Braves,Alcorn St,Braves,ALCN,Alcorn State,alcorn-state-braves,C1B881,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png
821,Alma Scots,ALMA,Scots,ALMA,Alma,alma-scots,,https://a.espncdn.com/i/teamlogos/ncaa/500/2800.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2800.png
319,American University Eagles,American,Eagles,AMER,American University,american-university-eagles,c41130,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/44.png
822,Anderson (IN) Ravens,Anderson IND,Ravens,ANDC,Anderson (IN),anderson-in-ravens,,https://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,https://a.espncdn.com/i/teamlogos/ncaa/500-dark/2023.png
